o_order_id:integer,o_customer_id:integer,o_product_id:integer
1,59102,397
2,57182,207
3,7392,521
4,15412,534
5,59146,567
6,5655,313
7,63120,326
8,64468,313
9,89968,525
10,24868,372
11,88448,395
12,81678,535
13,28832,156
14,94441,142
15,49966,156
16,87231,530
17,99384,207
18,56045,141
19,57419,288
20,58632,422
21,61418,575
22,62105,287
23,1211,541
24,93449,213
25,10364,586
26,49784,379
27,84147,171
28,49062,204
29,12963,173
30,60884,487
31,97817,223
32,77925,568
33,66374,171
34,64959,150
35,44360,357
36,93582,243
37,14624,530
38,55207,436
39,23304,227
40,2281,567
41,31678,371
42,72287,563
43,78841,489
44,67266,379
45,28477,315
46,28284,386
47,93609,541
48,52104,347
49,92237,286
50,48149,597
51,39928,466
52,74281,386
53,37744,385
54,60994,546
55,51291,579
56,5816,387
57,88250,193
58,3390,283
59,44598,575
60,78759,323
61,85202,372
62,62629,303
63,75680,480
64,18540,226
65,38224,524
66,86038,484
67,86594,549
68,3135,159
69,24252,115
70,64401,575
71,69176,237
72,43610,526
73,38165,123
74,16857,337
75,41646,200
76,8631,449
77,34439,506
78,48050,158
79,91107,254
80,31157,478
81,6803,501
82,96355,461
83,16009,285
84,96307,116
85,24106,573
86,20117,577
87,32386,550
88,24851,439
89,36850,531
90,69523,571
91,5412,372
92,34264,547
93,99327,553
94,71848,483
95,20278,217
96,32392,430
97,44890,216
98,1699,386
99,54576,534
100,76778,132
101,57950,283
102,24277,314
103,26718,588
104,36423,287
105,74581,450
106,592,379
107,55133,275
108,37229,440
109,53630,450
110,3818,157
111,91196,564
112,77767,118
113,16490,225
114,83448,249
115,70556,232
116,87846,564
117,61338,505
118,42547,267
119,73456,553
120,21339,177
121,48642,395
122,4565,347
123,96669,213
124,28313,245
125,72521,565
126,72092,294
127,92635,383
128,56471,123
129,95366,330
130,41862,519
131,4529,256
132,99724,194
133,75652,334
134,16339,396
135,53308,483
136,24081,281
137,83038,384
138,86918,308
139,67016,510
140,25858,573
141,78947,309
142,88003,532
143,11605,495
144,76796,524
145,76178,433
146,97266,304
147,92339,488
148,40352,109
149,23743,591
150,90842,325
151,23685,360
152,88078,596
153,99212,546
154,58822,398
155,38434,599
156,85194,457
157,31184,360
158,92611,281
159,67790,406
160,29339,133
161,78611,142
162,97407,200
163,5989,322
164,48230,594
165,92015,427
166,70219,510
167,58577,547
168,18198,186
169,1616,364
170,43546,253
171,29678,583
172,32343,352
173,91508,451
174,8863,239
175,55948,118
176,35190,587
177,80652,375
178,62130,447
179,85132,101
180,84066,360
181,2905,519
182,29227,251
183,10690,497
184,82798,253
185,65231,348
186,94853,365
187,11441,286
188,17996,582
189,32276,193
190,80828,495
191,19858,302
192,818,382
193,12161,198
194,37999,157
195,21100,405
196,17273,208
197,59200,443
198,86590,151
199,81724,424
200,93368,423
201,85100,363
202,90604,538
203,37135,404
204,24813,236
205,74067,192
206,65725,313
207,65059,478
208,61716,508
209,97719,495
210,39289,330
211,47881,222
212,16557,417
213,25928,578
214,65607,276
215,453,562
216,25626,420
217,31595,320
218,22002,595
219,31404,421
220,9469,389
221,12182,553
222,49511,549
223,90564,250
224,47198,388
225,39632,500
226,47988,221
227,20231,460
228,2787,455
229,55157,141
230,51115,288
231,54207,233
232,1846,511
233,98512,273
234,74396,282
235,71275,369
236,99906,430
237,40607,595
238,97022,147
239,39224,410
240,66678,547
241,35762,459
242,51110,592
243,29545,255
244,53119,439
245,95532,152
246,973,309
247,64656,135
248,47345,280
249,38656,491
250,87373,433
251,77873,537
252,45567,526
253,49876,331
254,9316,227
255,83429,435
256,4510,247
257,70209,264
258,86064,581
259,23220,212
260,85638,388
261,61072,327
262,35665,437
263,633,311
264,42800,328
265,14270,481
266,24650,118
267,96994,392
268,51768,525
269,4152,185
270,64640,141
271,49581,255
272,81596,168
273,85983,272
274,90648,450
275,140,382
276,13498,403
277,19301,165
278,82429,197
279,66081,277
280,46933,114
281,96590,180
282,54071,363
283,26722,193
284,54481,556
285,73968,132
286,70356,121
287,74133,332
288,60146,168
289,19858,231
