p_product_id:integer,p_name:string,p_price:double
1,Product_S213,35.70
2,Product_U363,992.70
3,Product_X159,396.71
4,Product_L535,160.51
5,Product_G307,592.20
6,Product_N526,116.71
7,Product_M848,153.51
8,Product_U512,201.81
9,Product_G567,672.14
10,Product_V112,316.88
11,Product_P299,474.16
12,Product_T441,854.71
13,Product_L105,994.44
14,Product_Q121,758.47
15,Product_J520,862.50
16,Product_V880,492.86
17,Product_C58,138.18
18,Product_P306,847.33
19,Product_B825,804.32
20,Product_Q168,251.53
21,Product_J426,224.32
22,Product_N915,991.75
23,Product_S309,125.61
24,Product_Z385,752.31
25,Product_M242,725.56
26,Product_T517,948.73
27,Product_A4,33.61
28,Product_O130,459.20
29,Product_H362,873.15
30,Product_P488,197.88
31,Product_N793,188.64
32,Product_N390,728.03
33,Product_V410,687.39
34,Product_L157,83.85
35,Product_I906,271.73
36,Product_I227,89.08
37,Product_D308,805.67
38,Product_J973,785.77
39,Product_K584,900.92
40,Product_G827,149.78
41,Product_A16,539.64
42,Product_S199,279.59
43,Product_B837,976.62
44,Product_O981,212.48
45,Product_J693,770.58
46,Product_U628,726.60
47,Product_J800,663.60
48,Product_J660,519.07
49,Product_T158,719.42
50,Product_U822,249.25
51,Product_S658,654.99
52,Product_Z918,622.44
53,Product_P569,645.44
54,Product_A300,772.39
55,Product_Y259,491.11
56,Product_W166,421.61
57,Product_E89,995.21
58,Product_B374,486.06
59,Product_X917,933.32
60,Product_E610,755.49
61,Product_X356,650.81
62,Product_U166,123.15
63,Product_M478,790.67
64,Product_M907,697.14
65,Product_S892,143.79
66,Product_A724,22.78
67,Product_J209,624.65
68,Product_J499,818.36
69,Product_K394,108.89
70,Product_F264,837.85
71,Product_H741,264.86
72,Product_M866,161.74
73,Product_I125,349.14
74,Product_D811,202.68
75,Product_O179,85.76
76,Product_F919,644.66
77,Product_O702,181.30
78,Product_W709,694.04
79,Product_D132,402.34
80,Product_L92,197.63
81,Product_W390,978.08
82,Product_Z239,116.62
83,Product_H167,520.05
84,Product_W9,736.47
85,Product_N437,191.37
86,Product_C633,731.16
87,Product_C422,211.57
88,Product_W111,885.41
89,Product_Z708,47.77
90,Product_I420,41.35
91,Product_D313,700.97
92,Product_C941,46.00
93,Product_J75,895.64
94,Product_R585,252.64
95,Product_A681,502.70
96,Product_B718,63.72
97,Product_Q579,910.05
98,Product_Z575,504.11
99,Product_M661,521.05
100,Product_V104,892.11
101,Product_I828,349.77
102,Product_K823,571.62
103,Product_Q31,392.49
104,Product_X949,761.46
105,Product_J950,887.66
106,Product_V3,438.28
107,Product_T198,971.50
108,Product_V421,716.81
109,Product_U731,683.75
110,Product_K841,175.46
111,Product_W892,387.34
112,Product_R24,767.34
113,Product_P955,967.20
114,Product_W84,865.42
115,Product_N530,57.38
116,Product_F856,876.77
117,Product_V542,541.48
118,Product_I539,613.89
119,Product_G318,659.41
120,Product_Y644,472.03
121,Product_K772,414.03
122,Product_H847,738.41
123,Product_G203,983.44
124,Product_F182,294.73
125,Product_E319,409.63
126,Product_B400,835.96
127,Product_M343,950.78
128,Product_P556,767.67
129,Product_D558,563.90
130,Product_L910,290.78
131,Product_K485,435.41
132,Product_Q633,205.93
133,Product_D690,540.90
134,Product_I547,270.59
135,Product_A421,620.78
136,Product_Y293,409.87
137,Product_B37,466.53
138,Product_V999,507.37
139,Product_I150,22.00
140,Product_H943,694.43
141,Product_S509,876.57
142,Product_Z635,255.91
143,Product_A529,321.35
144,Product_I122,267.18
145,Product_T620,715.96
146,Product_G478,201.09
147,Product_D184,782.41
148,Product_N556,404.47
149,Product_Q962,493.39
150,Product_N961,352.32
151,Product_F538,845.44
152,Product_X758,103.05
153,Product_F544,122.68
154,Product_M157,100.94
155,Product_F440,64.47
156,Product_T458,911.71
157,Product_Z655,39.87
158,Product_Z947,924.17
159,Product_F947,633.64
160,Product_Z648,265.14
161,Product_A69,572.76
162,Product_C74,586.22
163,Product_B98,178.35
164,Product_L551,409.52
165,Product_A30,726.76
166,Product_W964,605.27
167,Product_Y415,353.72
168,Product_Y761,857.24
169,Product_S807,768.63
170,Product_M649,491.97
171,Product_W250,610.84
172,Product_Y150,965.14
173,Product_L707,367.07
174,Product_D576,33.02
175,Product_M435,198.40
176,Product_Y911,868.57
177,Product_R2,136.84
178,Product_Q700,450.62
179,Product_Q171,35.22
180,Product_T748,140.87
181,Product_A628,820.22
182,Product_I436,466.29
183,Product_F139,296.13
184,Product_M581,725.48
185,Product_D457,527.56
186,Product_C849,374.83
187,Product_S418,691.77
188,Product_L132,145.19
189,Product_T995,605.69
190,Product_A699,751.99
191,Product_O786,769.94
192,Product_K216,840.79
193,Product_G602,260.98
194,Product_S531,486.56
195,Product_Y275,783.77
196,Product_Z946,358.83
197,Product_V85,900.88
198,Product_K97,65.41
199,Product_L502,949.50
200,Product_V434,615.40
201,Product_X199,815.52
202,Product_V342,447.35
203,Product_R122,134.18
204,Product_J18,460.85
205,Product_O206,668.42
206,Product_T307,979.17
207,Product_W449,211.06
208,Product_A705,367.45
209,Product_S900,912.85
210,Product_N647,54.80
211,Product_A875,787.83
212,Product_E536,789.62
213,Product_H818,217.72
214,Product_Q252,485.97
215,Product_R976,940.68
216,Product_X240,743.98
217,Product_P151,274.78
218,Product_L161,20.27
219,Product_U49,84.25
220,Product_D417,433.80
221,Product_F100,825.89
222,Product_M240,160.01
223,Product_E423,255.42
224,Product_V52,109.97
225,Product_S522,677.03
226,Product_C616,352.79
227,Product_P361,456.07
228,Product_F448,478.26
229,Product_H89,913.05
230,Product_R627,312.14
231,Product_G841,677.67
232,Product_E176,309.86
233,Product_X458,834.69
234,Product_T177,804.18
235,Product_Q783,807.98
236,Product_B514,29.98
237,Product_J965,156.85
238,Product_M481,413.68
239,Product_V436,657.53
240,Product_E760,506.58
241,Product_N451,464.68
242,Product_J398,900.37
243,Product_R951,661.32
244,Product_V946,368.92
245,Product_W388,161.49
246,Product_Q367,344.01
247,Product_N746,88.31
248,Product_T24,383.01
249,Product_W569,159.98
250,Product_C349,53.96
251,Product_O212,729.21
