s_supplier_id:integer,s_name:string,s_rating:integer,s_region_id:integer
1,Supplier_W581,1,9
2,Supplier_Z978,2,10
3,Supplier_B66,2,4
4,Supplier_S663,11,9
5,Supplier_W738,8,8
6,Supplier_Z550,13,4
7,Supplier_V422,10,2
8,Supplier_V744,9,3
9,Supplier_V508,8,14
10,Supplier_Y795,8,3
11,Supplier_P53,9,13
12,Supplier_E163,6,14
13,Supplier_R275,14,4
14,Supplier_K353,5,5
15,Supplier_S938,12,12
16,Supplier_J884,8,11
17,Supplier_T506,5,9
18,Supplier_Y260,5,11
19,Supplier_W67,14,2
20,Supplier_Q305,13,12
21,Supplier_E967,1,2
22,Supplier_Q440,2,2
23,Supplier_C699,1,9
24,Supplier_K710,10,5
25,Supplier_C605,15,1
26,Supplier_R818,4,11
27,Supplier_C119,13,8
28,Supplier_Y239,11,4
29,Supplier_S874,12,11
30,Supplier_Q319,9,14
31,Supplier_S11,7,4
32,Supplier_M592,2,10
33,Supplier_O226,11,12
34,Supplier_M178,4,11
35,Supplier_J85,12,8
36,Supplier_M591,13,8
37,Supplier_A657,4,3
38,Supplier_B722,12,6
39,Supplier_K833,12,15
40,Supplier_J552,9,13
41,Supplier_K388,14,12
42,Supplier_G809,4,2
43,Supplier_Z579,9,6
44,Supplier_I607,11,14
45,Supplier_T247,10,13
46,Supplier_E765,10,7
47,Supplier_G727,8,10
48,Supplier_H176,4,9
49,Supplier_B96,14,14
50,Supplier_V489,6,10
51,Supplier_R802,1,1
52,Supplier_Q529,9,2
53,Supplier_H737,4,6
54,Supplier_P772,9,12
55,Supplier_H793,7,14
56,Supplier_A702,3,15
57,Supplier_T481,6,4
58,Supplier_P848,11,5
59,Supplier_O176,1,9
60,Supplier_X779,14,5
61,Supplier_D899,9,9
62,Supplier_O627,7,5
63,Supplier_N444,1,10
64,Supplier_D148,6,11
65,Supplier_P268,4,2
66,Supplier_A816,1,15
67,Supplier_B553,13,5
68,Supplier_V207,5,14
69,Supplier_A568,6,14
70,Supplier_L14,2,12
71,Supplier_W740,2,1
72,Supplier_Z24,14,2
73,Supplier_S420,15,8
74,Supplier_Q463,10,7
75,Supplier_Y833,7,9
76,Supplier_W243,13,2
77,Supplier_G364,5,13
78,Supplier_L73,6,11
79,Supplier_Y924,1,9
80,Supplier_K621,1,6
81,Supplier_V94,6,9
